mode,buffer_size,iteration,slot,count,total_us,avg_us
checker,32768,1,close_hook,1,11442,11442
checker,32768,1,exit_hook,1,11191,11191
checker,32768,2,compute_tag,258,1451106,5624
checker,32768,2,vault_save,258,1367581,5300
checker,32768,2,mc_increment,258,2545113,9864
checker,32768,2,commit_now,258,5371872,20821
checker,32768,2,batch_latency,258,9277293,35958
checker,32768,2,fsync_hook,514,4788,9
checker,32768,2,close_hook,1,18694,18694
checker,32768,2,exit_hook,1,12341,12341
