mode,checker_prob,iteration,slot,count,total_us,avg_us
checker,100,5,gate_hook,0,0,0
checker,100,6,compute_tag,21,489,23
checker,100,6,vault_save,21,120312,5729
checker,100,6,mc_increment,21,105646,5030
checker,100,6,commit_now,21,227550,10835
checker,100,6,batch_latency,21,228452,10878
checker,100,6,fsync_hook,21,229175,10913
checker,100,6,close_hook,6,64857,10809
checker,100,6,exit_hook,1,10757,10757
checker,100,6,gate_hook,0,0,0
checker,100,7,compute_tag,21,447,21
checker,100,7,vault_save,21,102196,4866
checker,100,7,mc_increment,21,96956,4616
checker,100,7,commit_now,21,200589,9551
checker,100,7,batch_latency,21,201441,9592
checker,100,7,fsync_hook,21,204762,9750
checker,100,7,close_hook,6,63123,10520
checker,100,7,exit_hook,1,11379,11379
checker,100,7,gate_hook,0,0,0
checker,100,8,compute_tag,21,687,32
checker,100,8,vault_save,21,109373,5208
checker,100,8,mc_increment,21,100916,4805
checker,100,8,commit_now,21,212292,10109
checker,100,8,batch_latency,21,213387,10161
checker,100,8,fsync_hook,21,214400,10209
checker,100,8,close_hook,6,65372,10895
checker,100,8,exit_hook,1,11064,11064
checker,100,8,gate_hook,0,0,0
checker,100,9,compute_tag,21,510,24
checker,100,9,vault_save,21,111635,5315
checker,100,9,mc_increment,21,97117,4624
checker,100,9,commit_now,21,210329,10015
checker,100,9,batch_latency,21,211486,10070
checker,100,9,fsync_hook,21,212031,10096
checker,100,9,close_hook,6,60480,10080
checker,100,9,exit_hook,1,17443,17443
checker,100,9,gate_hook,0,0,0
